,CV_RMSE,CV_Std,Val_RMSE,Val_MAE,Val_R2,Training_Time
LightGBM (기본),1042099.6540125614,620392.1114775229,1323661.9975879954,425424.998628785,0.4654021319195034,1.6278209686279297
Random Forest (기본),1042430.6302640677,624714.2646671978,1408306.595987263,433543.0600535714,0.39484385395894683,0.5545988082885742
Tuned Random Forest,,,1437151.413378959,434057.5330980367,0.36980047088825363,
Gradient Boosting (기본),1078694.2515812947,772698.3556945673,1515960.6822545892,481693.45421767235,0.2987887148113956,1.249032974243164
Tuned Gradient Boosting,,,1515960.6822545892,481693.45421767235,0.2987887148113956,
Ridge,1037681.4607467392,552345.2551714818,1284301.2094666085,604348.7965616067,0.4967233228902517,1.600754737854004
