audiAcc
3919
681379
367687
12181
36142
10976
24086
1544146
2121
92623
9104
7757
2546967
12435
10873
63985
703
150856
6467
138800
1295
28875
9509
1022
130238
8323
1222296
1012420
4982
13415
13798
8220190
22747
6641
11079
14273
102656
20000
24211
124835
181559
78260
14428
29812
1909031
25374
12709
3523
5155465
3951
62950
4895
3768585
13010
6582
4414
47670
5394
1169975
1539009
220345
1368
37760
24769
14348
7038
52724
15252
1544233
31683
123324
71345
518361
52940
23814
1364
49859
6303
15930
18982
22080
2322
19548
309765
2957005
2194102
224881
548695
8278
1030
207364
7205607
1709074
4246
20451
2431
179104
1886
14075
1128307
277525
3234
15966
2021
17208
10040
10453
3800
10300613
8298
348459
95718
81008
26672
643631
7007
100788
109713
45752
104242
3217162
5882489
56910
903786
108278
38443
38988
34118
14298
8196
47195
37473
15636
1868
3031
944400
398019
1326017
7644
120580
441406
69789
36939
7028
13552
39679
10675973
3161
56633
959
103796
10481
3975
81299
74759
409797
4560367
240387
137653
8841
371934
84956
7917
8956
20749
21033
3453
237376
14310
3611510
486043
7695
67313
2669
698632
538
11022
6979189
1052
9305
45237
53554
9072
7129
184059
179204
25524
41423
3472099
15154
187494
40621
309036
4607
234322
120118
578041
2845
2528
1228551
416053
2740
18418
16289
51956
64746
6503
4274
17585
14000
114943
15225
32590
7252467
2901
223313
1739223
33071
9204
114911
36829
13524
6916
416582
108122
439188
9910
6428134
104586
228613
73341
7075
12983
397289
8634
40645
2814
33283
10014
32132
335025
10522
7822
227890
31295
1133
3560
4156
17236
61417
17182
5588
37947
1889
6798
561000
34076
19377
31195
1903703
2223
213731
961
1120
103072
80784
86080
37455
6962
28903
6916
9721
1166
1045
7328
3276
9031
39999
905
358519
18142
6850
1858686
3902
77321
53625
59835
35596
639113
1183
2894
827170
8406
725600
15189
16881
6213
25513
28671
46001
212712
40131
4872
3577
4204
113130
14817
2647
5467
9480
729798
196931
73216
24517
23521
1987842
7050
162547
41739
2149
20406
125355
128928
13197
1012
957894
19522
557
100655
19906
5173
5652
4635
6473
419065
1355
36970
2565
85319
3913248
56837
12417
15948
717766
496721
780819
255324
3138
10346
6033
686000
709645
414471
1726410
495549
66460
342357
263384
526009
3717
1110
124954
1634819
676
53655
42827
16460
15824
313089
1916688
10015
13279
3354
2435
50743
79599
3048616
60669
11188
713
3292521
852863
62293
58315
509109
26725
3264
877349
72731
378033
328194
10342523
680
7502
115602
18391
148224
11526
12815
2102015
747662
26291
7903
5570424
919925
6409
113788
413119
11413
1222140
21173
10311
4271842
16929
7729
14982
1531010
721935
2023
4467
8310
91524
2796
47909
100794
3247
534370
100262
3395
111348
18777
119948
873099
51661
57721
1034
14983
55748
189429
2294
7174
3047
5298
21634
534270
8611
6619
823213
10048
95349
2141
18286
57231
168246
655
1021
995
13199
73175
41234
31358
9427
64601
1100
104286
11608
9049
7413
2673
94339
7831
36064
1566916
628878
797370
4932
24384
45124
10503764
260
5891
10189
230274
33773
69761
45256
13977409
4183
77926
897345
96760
90721
4173
7646
970344
7573
33259
29449
4095
2554
42295
1163319
230712
15573
4188
860622
184399
338097
1790797
1715630
95541
227143
11942
28934
71295
68686
24135
4971
8165
9712
104055
18171
6248
15385
777888
5937
246074
9396
219208
9474
1007
1024
13654
31534
213710
4614
850
4117
153522
1353
4252
55107
295712
6561
10326
21105
1913
191239
3448791
24941
5399
3526209
111281
11275
2121625
97564
15707
1790
6732
11070
132479
9023
406
23599
2447
26210
1863289
596669
135402
10149
1956
3126
1306
30226
10673
67906
8249
1036
8058821
1255885
33046
1195322
26364
46795
60641
1121631
75879
31140
1391091
3677
24458
23646
332061
16046
20967
58401
42215
5123219
1645332
1818
22575
390229
144410
13529
950877
49670
330676
226101
9158
7067
936
2163199
3707
762
46047
17476
33658
462096
2245
7086884
514
2263349
20851
31910
11102
1050
90836
2814
1900
20000
26580
2515
26428
4750
5932514
9204
1014
48947
60005
47222
2175541
5673
35577
33699
1591339
100338
2396
10735
1266654
530659
49340
30083
26013
855266
12696
43590
8390
9225
109003
1506
22587
141768
18271
4659
1909172
311013
15886
36704
821
51288
5322
2833242
2805
4353414
1417030
4393
20912
17890
1430
4872
41365
1377749
12348
190606
72691
64499
15312
34236
1639289
7893
401096
261502
617
49585
9847
71799
8040
16575
8594
33925
8431
1466593
128353
173750
309255
15271
8026
24573
441993
36895
19344
74944
161754
85651
1130
18647
7447
2646
14393
1996953
109090
1027845
761475
107277
2037876
69612
2010321
514448
3705
2935
3221
1640
3496787
19945
19635
13119454
94276
39120
12641
22852
19346
35644
3766
1374
22757
49592
4015548
147277
2636
12408
5252
11566
3321661
6590
1771
40059
11296
604674
2806159
3865
6162
3018
1735164
9411
568180
1708356
104699
60315
605496
9244
37358
548916
48799
2625
310
47844
41533
2309
4204834
4016
8811
39613
4865289
40453
7805
398407
75739
23907
33380
139937
33938
13766393
125493
74880
1495
112348
110919
1250
4748387
240539
1978688
177093
4423
60918
30358
3841
282256
1517
353993
216418
76862
635802
6517
4681
5605
14327
139036
4324
16412
7409
798920
21568
3063
8546
181617
8450
8565
605
28000
9981
19317
1656287
5319
2566
1484
114823
4273
403997
1244
11230721
1771324
3696784
91709
3200
8101
732280
21966
891
20055
7776
12429
6345
68333
16489
29422
1715
901534
1397
6034
12265
126993
1768
9574
6555
67975
132625
29014
105742
2284568
6627
27554
68007
21243
1409
6751
5173
