movieNm,audiAcc,openDt,movieCd,movieNmEn,prdtYear,typeNm,nations,genres,directors,actors,watchGradeNm,distributors,search_4w_before,search_2w_before,search_1w_before,search_opening,search_1w_after,max_search,avg_search,search_volatility,search_growth_rate,director_power,actor_power,ticket_power,genre_애니메이션,genre_어드벤처,genre_사극,genre_SF,genre_멜로/로맨스,genre_다큐멘터리,genre_뮤지컬,genre_판타지,genre_공연,genre_전쟁,genre_공포(호러),genre_서부극(웨스턴),genre_드라마,genre_액션,genre_범죄,genre_기타,genre_스릴러,genre_성인물(에로),genre_코미디,genre_미스터리,genre_가족,genre_Unknown,release_month,release_quarter,release_year,release_dayofweek,is_weekend,season,season_fall,season_spring,season_summer_peak,season_winter_peak,distributor_freq,distributor_target,watchGrade_encoded
베이비티스,1374,2020-10-22,20208370,Babyteeth,2019.0,장편,호주,"코미디,드라마",오윤동,"엘리자 스캔런,벤 멘델슨,에시 데이비스",15세이상관람가,엠엔엠인터내셔널(주),8.5,17.5,30.7,33.0,19.7,33.0,20.3,9.79081201943945,2.611764705882353,28339.5,850030.0,521353.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10.0,4.0,2020.0,3.0,0,fall,True,False,False,False,4.0,6814.75,4
벨파스트,10453,2022-03-23,20223583,Belfast,2021.0,장편,미국,드라마,케네스 브래너,"케이트리오나 발피,주디 덴치,제이미 도넌,시아란 힌즈,주드 힐",12세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),8.1,11.2,16.3,22.0,17.0,22.0,13.433333333333332,6.050013774089003,1.012345679012346,227890.0,28339.5,108159.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,1.0,2022.0,2.0,0,fall,True,False,False,False,66.0,676705.0454545454,1
별처럼 빛나는 너에게 더무비-일섬일섬량성성 ,6049,2024-05-22,20249300,Everything Everywhere All At Once,2021.0,장편,한국,드라마,오윤동,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구",15세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,2.0,2024.0,2.0,0,spring,False,True,False,False,14.0,70139.0,7
보 이즈 어프레이드,56910,2023-07-05,20231889,Beau Is Afraid,2023.0,장편,미국,"어드벤처,공포(호러)",아리 에스터,호아킨 피닉스,청소년관람불가,(주)스튜디오디에이치엘,5.0,13.2,18.0,23.0,14.9,23.0,13.65,6.590220026675893,2.6,28339.5,2644719.0,1598167.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,3.0,2023.0,2.0,0,summer_peak,False,False,True,False,14.0,35251.78571428572,13
보스 베이비 2,919925,2021-07-21,20218391,Boss Baby: Family Business,2021.0,장편,미국,"애니메이션,코미디,어드벤처",톰 맥그라스,"알렉 볼드윈,에이미 세다리스,제임스 마스던,제프 골드블럼,지미 키멜",전체관람가,유니버설픽쳐스인터내셔널 코리아(유),15.4,30.6,51.5,63.7,41.8,63.7,37.76666666666667,18.053993094788385,2.344155844155844,28339.5,2197.0,12654.000000000002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0,3.0,2021.0,2.0,0,summer_peak,False,False,True,False,66.0,676705.0454545454,11
보이스,1421580,2021-09-15,20190815,On the Line,2021.0,장편,한국,"범죄,액션","김곡,김선","변요한,김무열,김희원,박명훈,이주영",15세이상관람가,(주)씨제이이엔엠,29.5,47.2,65.6,79.2,53.6,79.2,52.01666666666667,18.339292970740903,1.2237288135593218,28339.5,342357.0,216749.99999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,3.0,2021.0,2.0,0,fall,True,False,False,False,46.0,1145749.5869565217,4
보이저스,17476,2021-05-26,20217500,Voyagers,2021.0,장편,미국,"SF,어드벤처,스릴러",닐 버거,"콜린 파렐,타이 쉐리던,릴리 로즈 멜로디 뎁,핀 화이트헤드",15세이상관람가,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",5.0,7.6,9.6,12.0,8.3,12.0,7.916666666666667,2.711764493215933,0.9199999999999999,28339.5,1636548.0,993264.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,2.0,2021.0,2.0,0,spring,False,True,False,False,5.0,159618.0,4
보호자,124954,2023-08-15,20192995,A Man of Reason,2021.0,장편,한국,"액션,드라마",정우성,"정우성,김남길,김준한,박성웅,박유나",15세이상관람가,(주)에이스메이커무비웍스,10.4,19.1,27.2,39.5,22.3,39.5,21.75,10.732893365723895,1.615384615384615,28339.5,488585.4,304487.04,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8.0,3.0,2023.0,1.0,0,summer_peak,False,False,True,False,11.0,498085.2727272727,4
복지식당,6303,2022-04-14,20217123,Awoke,2021.0,장편,한국,드라마,"정재익,서태수","조민상,한태경,임호준,송민혁,서태수",12세이상관람가,㈜인디스토리,7.7,13.6,17.8,21.5,14.1,21.5,14.35,4.828560862203147,1.3116883116883118,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,2.0,2022.0,3.0,0,spring,False,True,False,False,6.0,4322.666666666667,1
본즈 앤 올,34306,2022-11-30,20228045,Bones and All,2022.0,장편,미국,"공포(호러),멜로/로맨스",루카 구아다니노,"테일러 러셀,티모시 샬라메,마크 라이런스,클로에 세비니",청소년관람불가,워너브러더스 코리아(주),6.9,14.2,20.0,28.8,16.0,28.8,15.883333333333333,7.865981608589399,1.898550724637681,224881.0,219208.0,221477.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0,4.0,2022.0,2.0,0,fall,True,False,False,False,55.0,1344704.5272727273,13
